"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms
Physician,No,Immediately,yes,yes,yes,yes,26-40,Female,undergraduate,"2,00,001 - 4,00,000",Family/Friend,Delayed,No Response,Unaware,Unaware,other
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Male,undergraduate,"2,00,001 - 4,00,000",Doctor,After Checkup,Hospital /Medical Centre,"Paralysis / Weakness, Balance / Dizziness",Diabetes / Obesity,medical_checkup
Physician,No,Immediately,maybe,maybe,maybe,maybe,15-25,Female,high school,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,other,"2,00,001 - 4,00,000",Family/Friend,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",emergency
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,26-40,Male,speciality,"Above 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"4,00,001 - 6,00,000",Family/Friend,Unaware,Hospital /Medical Centre,Unaware,Unaware,Not answered
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,yes,yes,yes,yes,41-60,Male,undergraduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,speciality,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Orthopedic,No,Within a day,maybe,no,no,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Orthopedic,Yes,Immediately,yes,yes,yes,yes,15-25,Female,undergraduate,"6,00,001 - 8,00,000",Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache",Other,medical_checkup
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,undergraduate,"Below 2,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,"Above 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,41-60,Female,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,maybe,yes,maybe,no,26-40,Male,graduate,"6,00,001 - 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Orthopedic,No,Within a day,no,no,maybe,no,41-60,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,Not answered
Physician,Yes,Within a day,yes,yes,yes,yes,15-25,Female,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Neurologist,No,Within a day,no,no,no,no,Other,Female,graduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Female,undergraduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness",Age / Family / Gender,emergency
Physician,No,Within a day,no,no,no,no,15-25,Male,undergraduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,No,Within a day,yes,yes,yes,yes,26-40,Female,speciality,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Orthopedic,Yes,Within a day,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness","Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Male,graduate,"6,00,001 - 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Vision Problems, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,41-60,Male,graduate,"Above 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,maybe,no,maybe,maybe,26-40,Male,other,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,no,no,no,no,41-60,Male,other,"Above 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,Within a day,no,no,maybe,maybe,41-60,Male,graduate,"Above 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,"6,00,001 - 8,00,000",Emergency Services,Not answered,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"6,00,001 - 8,00,000",Not given,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",no_food_drink_sleep
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"Above 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Male,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,No,Within a day,maybe,no,no,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness",Age / Family / Gender,emergency
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Male,undergraduate,"4,00,001 - 6,00,000",Emergency Services,After Checkup,CT Scan /Diagnostic,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Physician,No,Immediately,maybe,no,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Orthopedic,No,Within a week,maybe,maybe,no,no,Other,Female,undergraduate,"4,00,001 - 6,00,000",Emergency Services,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Not given,Immediate,Hospital /Medical Centre,"Paralysis / Weakness, Vision Problems, Balance / Dizziness","Diabetes / Obesity, Unaware",other
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,high school,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Physician,No,Within a week,no,maybe,maybe,maybe,41-60,Female,speciality,"4,00,001 - 6,00,000",Not given,Unaware,No Response,Unaware,Unaware,other
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Male,other,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",other
Physician,No,Other,no,maybe,maybe,maybe,15-25,Female,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Male,speciality,"6,00,001 - 8,00,000",Not given,Not answered,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Neurologist,No,Within a day,yes,yes,maybe,yes,15-25,Male,high school,Not Specified,Emergency Services,Immediate,No Response,Unaware,Unaware,rest_safety
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,undergraduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Female,speciality,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",emergency
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Male,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",no_food_drink_sleep
Physician,No,Immediately,no,maybe,maybe,maybe,15-25,Male,undergraduate,Not Specified,Doctor,Immediate,Doctor /Specialist,General Awareness,Other,other
Orthopedic,No,Immediately,maybe,maybe,maybe,maybe,Other,Female,graduate,"Above 8,00,000",Doctor,Immediate,No Response,Unaware,Unaware,No response
Physician,No,Immediately,maybe,maybe,maybe,maybe,26-40,Male,graduate,"6,00,001 - 8,00,000",Emergency Services,Immediate,Doctor /Specialist,Unaware,Unaware,Not answered
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,graduate,Not Specified,Emergency Services,Immediate,Doctor /Specialist,"Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,Other,Male,other,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,41-60,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Doctor /Specialist,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,41-60,Male,graduate,"2,00,001 - 4,00,000",Family/Friend,Immediate,Hospital /Medical Centre,Unaware,Unaware,Not answered
Physician,No,Within a day,maybe,maybe,maybe,maybe,41-60,Female,graduate,"4,00,001 - 6,00,000",Hospital,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,No,Within a week,maybe,maybe,maybe,maybe,41-60,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,Other,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,high school,Not Specified,Not given,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Male,high school,Not Specified,Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,No,Immediately,maybe,maybe,maybe,maybe,Other,Female,other,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,yes,yes,yes,yes,Other,Female,graduate,Not Specified,Doctor,Not answered,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Orthopedic,No,Within a day,maybe,maybe,maybe,maybe,Other,Female,graduate,"2,00,001 - 4,00,000",Not given,Immediate,No Response,Unaware,Unaware,other
"ENT (Ear, Nose, and Throat specialist)",No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Male,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",no_food_drink_sleep
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Female,undergraduate,Not Specified,Doctor,Immediate,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness",Diabetes / Obesity,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,Other,Male,high school,"4,00,001 - 6,00,000",Hospital,Immediate,No Response,Unaware,Unaware,No response
Physician,No,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"6,00,001 - 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,No,Immediately,maybe,maybe,maybe,maybe,15-25,Female,undergraduate,Not Specified,Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,No,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",calm_reassure
Physician,No,Immediately,maybe,maybe,maybe,maybe,15-25,Female,graduate,Not Specified,Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,41-60,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,Yes,Within a day,yes,yes,yes,yes,Other,Male,graduate,"Above 8,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",medical_checkup
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Female,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response
Neurologist,No,Within a day,yes,yes,yes,yes,26-40,Female,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Physician,No,Immediately,yes,yes,yes,yes,26-40,Male,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Neurologist,No,Immediately,maybe,maybe,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,Other,Male,speciality,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",No response
Physician,No,Within a week,maybe,maybe,maybe,no,Other,Male,graduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
